LinesCount,LinesAvgLength,LineCommentCount,LineCodeCount,LineBlankCount,TypesCount,ClassCount,ObjectCount,TraitCount,MaxChildren,MethodCount,PrivateMethodCount,ProtectedMethodCount,MethodOverrideCount,FinalMethodCount,VarLocalCount,VarFieldCount,MagicNumbersCount,File
67,32,24,33,13,2,2,0,0,1,9,0,0,9,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/test/ExamplePointUDT.scala
374,32,157,192,46,3,1,0,2,1,27,2,0,9,0,0,2,0,sql/core/src/main/scala/org/apache/spark/sql/DataFrameWriterV2.scala
136,36,124,12,6,1,1,0,0,1,3,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/ForeachWriter.scala
50,32,25,22,6,1,1,0,0,0,2,0,0,1,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/internal/VariableSubstitution.scala
178,41,63,108,21,4,3,1,0,1,10,0,1,2,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/internal/SessionState.scala
527,34,216,302,55,2,1,1,0,1,42,7,0,33,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/internal/CatalogImpl.scala
24,40,20,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/internal/package.scala
127,42,32,86,15,2,1,1,0,0,3,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/internal/HiveSerDe.scala
265,41,72,194,28,2,1,1,0,2,4,3,0,0,0,0,1,0,sql/core/src/main/scala/org/apache/spark/sql/internal/SharedState.scala
369,35,156,207,34,2,1,0,1,0,24,0,18,4,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/internal/BaseSessionStateBuilder.scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/SQLContext.scala
161,28,83,75,17,1,1,0,0,0,14,1,0,0,0,0,0,0,sql/core/src/main/scala/org/apache/spark/sql/RuntimeConfig.scala
255,37,81,166,21,1,0,1,0,1,11,4,0,0,0,6,0,0,sql/core/src/main/scala/org/apache/spark/sql/execution/ExplainUtils.scala
